route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101C,SA,115906713,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906714,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906715,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906716,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906717,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906718,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906719,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906720,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906721,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906722,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906723,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906724,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906725,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906726,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906727,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906728,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906729,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906730,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906731,C-Line to Mineral,1, 101 16,1333867
101C,SA,115906732,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906733,C-Line to Mineral,1, 101 14,1333867
101C,SA,115906734,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906735,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906794,C-Line to Mineral,1, 101 15,1333865
101C,SU,115906922,C-Line Union Station,0, 101 13,1333836
101C,SU,115906939,C-Line Union Station,0, 101 11,1333836
101C,SU,115906940,C-Line Union Station,0, 101 15,1333836
101C,SU,115906941,C-Line Union Station,0, 101 13,1333836
101C,SU,115906942,C-Line Union Station,0, 101 12,1333836
101C,SU,115906949,C-Line Union Station,0, 101 11,1333836
101C,SU,115906950,C-Line Union Station,0, 101 15,1333836
101C,SU,115906951,C-Line Union Station,0, 101 14,1333836
101C,SU,115906952,C-Line Union Station,0, 101 16,1333836
101C,SU,115906953,C-Line Union Station,0, 101 15,1333836
101C,SU,115906954,C-Line Union Station,0, 101 14,1333836
101C,SU,115906955,C-Line Union Station,0, 101 16,1333836
101C,SU,115906956,C-Line Union Station,0, 101 15,1333836
101C,SU,115906957,C-Line Union Station,0, 101 14,1333836
101C,SU,115906958,C-Line Union Station,0, 101 16,1333836
101C,SU,115906959,C-Line Union Station,0, 101 15,1333836
101C,SU,115906960,C-Line Union Station,0, 101 14,1333836
101C,SU,115906961,C-Line Union Station,0, 101 16,1333836
101C,SU,115906962,C-Line Union Station,0, 101 15,1333836
101C,SU,115906963,C-Line Union Station,0, 101 14,1333836
101C,SU,115906964,C-Line Union Station,0, 101 16,1333836
101C,SU,115906965,C-Line Union Station,0, 101 15,1333836
101C,SU,115906966,C-Line Union Station,0, 101 14,1333836
101C,SU,115906967,C-Line Union Station,0, 101 16,1333836
101C,SU,115906968,C-Line Union Station,0, 101 15,1333836
101C,SU,115906990,C-Line Union Station,0, 101 12,1333836
101C,SU,115906991,C-Line Union Station,0, 101 11,1333836
101C,SU,115906992,C-Line Union Station,0, 101 12,1333836
101C,SU,115906993,C-Line Union Station,0, 101 11,1333836
101C,SU,115906994,C-Line Union Station,0, 101 13,1333836
101C,SU,115906995,C-Line Union Station,0, 101 12,1333836
101C,SU,115906996,C-Line Union Station,0, 101 11,1333836
101C,SU,115906997,C-Line Union Station,0, 101 13,1333836
101C,SU,115906998,C-Line Union Station,0, 101 12,1333836
101C,SU,115906999,C-Line Union Station,0, 101 11,1333836
101C,SU,115907000,C-Line Union Station,0, 101 13,1333836
101C,SU,115907001,C-Line Union Station,0, 101 12,1333836
101C,SU,115907002,C-Line Union Station,0, 101 11,1333836
101C,SU,115907003,C-Line Union Station,0, 101 13,1333836
101C,SU,115907004,C-Line Union Station,0, 101 12,1333836
